id,MSB,LSB,name

0x700, 0, 1, WHEEL_SPEED_FRONT_L
0x700, 2, 3, WHEEL_SPEED_FRONT_R

0x701, 0, 1, WHEEL_SPEED_REAR_L
0x701, 2, 3, WHEEL_SPEED_REAR_R

0x710, 0, 1, TIRE_TEMP_FRONT_L
0x710, 2, 3, TIRE_TEMP_FRONT_R

0x711, 0, 1, TIRE_TEMP_REAR_L
0x711, 2, 3, TIRE_TEMP_REAR_R

0x720, 0, 1, COOLANT_RAD
0x720, 2, 3, COOLANT_MOTOR
0x720, 4, 5, COOLANT_MC
0x720, 6, 7, COOLANT_FLOW

0x730, 0, 1, SHOCK_POT_FRONT_L
0x730, 2, 3, SHOCK_POT_FRONT_R

0x731, 0, 1, SHOCK_POT_REAR_L
0x731, 2, 3, SHOCK_POT_REAR_R

0x740, 0, 1, DROP_LINK_LEFT
0x740, 2, 3, DROP_LINK_RIGHT

0x750, 0, 1, STEER_ROD_FRONT_L
0x750, 2, 3, STEER_ROD_FRONT_R
0x750, 4, 5, PUSHROD_FRONT_L
0x750, 6, 7, PUSHROD_FRONT_R

0x760, 0, 1, TIEROD_REAR_L
0x760, 2, 3, TIEROD_REAR_R
0x760, 4, 5, PUSHROD_REAR_L
0x760, 6, 7, PUSHROD_REAR_R

0x770, 0, 1, LCA_FRONT_LF
0x770, 2, 3, LCA_FRONT_LB
0x770, 4, 5, LCA_FRONT_RF
0x770, 6, 7, LCA_FRONT_RB

0x780, 0, 1, LCA_REAR_LF
0x780, 2, 3, LCA_REAR_LB
0x780, 4, 5, LCA_REAR_RF
0x780, 6, 7, LCA_REAR_RB

0x790, 0, 1, UCA_FRONT_LF
0x790, 2, 3, UCA_FRONT_LB
0x790, 4, 5, UCA_FRONT_RF
0x790, 6, 7, UCA_FRONT_RB

0x7A0, 0, 1, UCA_REAR_LF
0x7A0, 2, 3, UCA_REAR_RF
0x7A0, 4, 5, UCA_REAR_LB
0x7A0, 6, 7, UCA_REAR_RB

0x7B0, 0, 1, FRONT_TORSIONAL_ARB

0x7B1, 0, 1, REAR_TORSIONAL_ARB

0x7C0, 0, 1, STEERING_ANGLE
0x7C0, 2, 3, STEERING_TORSION

0x7D0, 0, 0, IMU Data Type, IMU_TYPE
0x7D0, 1, 2, IMU Data, IMU_DATA
0x7D0, 3, 5, IMU Data Time, IMU_TIME